package_weight_limit_g,cpass_charge_tier_g,public_reference_transport_jpy,adjusted_transport_jpy,shipping_at_0_usd,shipping_at_50_usd,shipping_at_100_usd,shipping_at_175_usd,shipping_at_250_usd,validation
100,100,1227,1310.436,13.99,20.99,26.99,36.99,46.99,Validated by screenshots
200,200,1367,1459.956,14.99,21.99,27.99,37.99,47.99,Validated by screenshots
300,300,1581,1688.508,16.99,23.99,29.99,39.99,48.99,Validated by screenshots
400,400,1778,1898.904,18.99,24.99,31.99,40.99,50.99,Validated by screenshots
500,500,2060,2200.08,20.99,27.99,33.99,43.99,52.99,Validated by screenshots
600,600,2222,2373.096,22.99,28.99,35.99,44.99,54.99,Validated by screenshots
700,700,2321,2478.828,22.99,29.99,35.99,45.99,55.99,Validated by screenshots
800,800,2703,2886.804,26.99,32.99,39.99,48.99,58.99,Validated by screenshots
900,1000,3020,3225.36,28.99,35.99,41.99,51.99,61.99,Validated by screenshots
1000,1000,3020,3225.36,28.99,35.99,41.99,51.99,61.99,Validated by screenshots
1100,1500,3976,4246.368,36.99,43.99,49.99,59.99,69.99,Verify one CPaSS quote before use
1200,1500,3976,4246.368,36.99,43.99,49.99,59.99,69.99,Verify one CPaSS quote before use
1300,1500,3976,4246.368,36.99,43.99,49.99,59.99,69.99,Verify one CPaSS quote before use
1400,1500,3976,4246.368,36.99,43.99,49.99,59.99,69.99,Verify one CPaSS quote before use
1500,1500,3976,4246.368,36.99,43.99,49.99,59.99,69.99,Verify one CPaSS quote before use
1600,2000,4351,4646.868,39.99,46.99,52.99,62.99,72.99,Verify one CPaSS quote before use
1700,2000,4351,4646.868,39.99,46.99,52.99,62.99,72.99,Verify one CPaSS quote before use
1800,2000,4351,4646.868,39.99,46.99,52.99,62.99,72.99,Verify one CPaSS quote before use
1900,2000,4351,4646.868,39.99,46.99,52.99,62.99,72.99,Verify one CPaSS quote before use
2000,2000,4351,4646.868,39.99,46.99,52.99,62.99,72.99,Verify one CPaSS quote before use
